"入學年","舊校名","身份證字號","姓名","英文姓名","性別(男生:1，女生:2)","電話","生日（西元）","家長姓名","戶籍住址","國小班級","戶籍遷入日期","聯絡住址","郵遞區號","聯絡手機",,"國中臨時班級","國中臨時座號"
93,"網路國小","c111111111","王小明",,1,3770771,"1991/1/1","王大明","台南縣佳里鎮下寮里中和街4號","六年一班",,,700,,1,1,
93,"網路國小","c111111112","林小華",,1,3770772,"1991/2/1","林大華","台南縣佳里鎮安仁里5鄰梧棲路9號","六年一班",,,700,,1,2,
93,"網路國小","c111111113","李小山",,1,3770773,"1991/3/1","李大山","台南縣佳里鎮中正里7鄰中興路18巷2","六年二班",,,700,,1,3,
93,"網路國小","c111111114","陳小玉",,2,3770774,"1991/4/1","陳大玉","台南縣佳里鎮中正里19鄰梧棲路11巷2號","六年二班",,,700,,1,4,
93,"網路國小","c111111115","方小芳",,2,3770775,"1991/5/1","方大芳","台南縣佳里鎮南寮村8鄰中沙路2號","六年三班",,,700,,2,1,
93,"網路國小","c111111116","錢小花",,2,3770776,"1991/6/1","錢大花","台南縣佳里鎮文化里7鄰東建路1號","六年三班",,,700,,2,2,
93,"虛擬國小","c111111117","張小玫",,2,3770777,"1991/7/1","張大玫","台南縣佳里鎮中正里19鄰梧棲路11巷99號","六年一班",,,700,,2,3,
93,"虛擬國小","c111111118","黃小鳳",,2,3770778,"1991/8/1","黃大鳳","台南縣佳里鎮中正里中興路18巷1弄12號","六年一班",,,700,,2,4,
93,"虛擬國小","c111111119","吳小琳",,2,3770779,"1991/9/1","吳大琳","台南縣佳里鎮下寮里中和街7號","六年二班",,,700,,3,1,
93,"虛擬國小","c111111120","劉小羽",,1,3770770,"1991/10/1","劉大羽","台南縣佳里鎮南寮村8鄰中沙路2號","六年二班",,,700,,3,2,
93,"虛擬國小","c111111121","呂小布",,1,3770872,"1991/11/1","呂大布","台南縣佳里鎮下寮里中和街4號","六年三班",,,700,,3,3,
93,"虛擬國小","c111111122","杜小心",,1,3770177,"1991/12/1","杜大心","台南縣佳里鎮下寮里中和街5號","六年三班",,,700,,3,4,
93,"虛擬國小","c111111123","邱小宏",,1,3770977,"1991/5/4","邱大宏","台南縣佳里鎮下寮里中和街6號","六年三班",,,700,,3,5,
